01889,01889Addison Rowe,c,a,c,a,b,c,c,b,d,a,d,
90860,90860Leyla Sosa,b,d,d,b,d,a,c,b,b,b,a,
92776,92776Lisa Gaines,c,d,d,b,a,c,c,c,c,a,d,
51909,51909Sherlyn Burgess,d,b,a,c,b,d,b,c,d,a,d,
10582,10582Jeffrey Sellers,a,c,a,b,d,a,c,b,d,b,c,
67351,67351Nylah Salazar,d,a,c,b,b,b,a,a,c,a,c,
10508,10508Allie Byrd,a,d,c,d,d,b,b,a,d,b,b,
59820,59820Chana Romero,a,d,d,a,b,b,c,a,d,a,d,
95519,95519Emely R. Larsen,a,d,d,a,b,c,c,c,c,a,d,
74196,74196Ali Mcgrath,a,b,c,d,d,d,c,a,d,d,b,
13994,13994Alfredo Brennan,c,b,d,b,d,d,c,c,a,c,d,
22080,22080Miranda Parsons,b,d,c,a,c,c,c,c,d,a,b,
08331,08331Shayna Myers,d,a,d,c,d,a,c,b,b,b,c,
13389,13389Demetrius Graham,a,a,c,a,d,b,b,a,a,d,a,
77618,77618Averi Mckinney,b,c,a,b,c,c,d,c,c,c,a,
22977,22977Karsyn Powell,c,c,c,d,d,a,d,a,b,b,a,
97725,97725Cloe Macias,c,c,a,d,b,b,b,d,d,c,a,
70171,70171Mckenna Weaver,a,d,a,c,c,a,d,a,d,b,a,
73427,73427Trinity W. Dorsey,b,d,c,c,b,d,c,d,b,d,c,
12286,12286Trevin Duarte,a,a,b,d,c,b,b,c,b,b,a,
10142,10142Braden Combs,c,d,d,b,a,d,d,b,d,c,a,
63506,63506Susan Poole,b,c,d,c,b,c,a,b,c,c,b,
02658,02658Maximillian Wall,d,c,c,a,a,c,d,c,b,d,d,
37936,37936Jayden Molina,c,c,c,b,a,c,b,b,b,b,d,
29490,29490Deven Barker,d,a,a,b,c,b,b,b,d,d,c,
89184,89184Kayleigh Ford,a,c,e,a,b,b,c,a,d,a,d,
47864,47864Adalynn O'donnell,a,c,b,b,d,a,d,c,a,d,d,
21697,21697Enzo Stokes,a,a,a,a,d,c,d,a,d,b,c,
73096,73096Zachery Cohen,b,b,d,a,c,d,a,c,b,b,d,
55883,55883Guillermo Morrison,b,d,c,c,c,b,a,d,b,a,d,
67250,67250Ariel Dominguez,c,c,a,c,d,c,c,b,d,b,b,
18126,18126Paula Mcbride,a,b,a,c,c,a,c,a,d,b,c,
70497,70497Thaddeus Castaneda,c,c,a,a,d,d,a,b,c,b,d,
99419,99419Elsie Landry,d,b,c,d,c,a,b,d,b,b,b,
99238,99238Miracle Ayala,b,d,a,a,a,c,c,d,a,c,d,
30001,30001Raiden R. F. Fernandez,c,d,b,a,a,a,b,a,c,a,d,
02648,02648Kaylyn Montes,a,a,d,b,b,a,b,d,a,b,d,
05557,05557Amya Hensley,d,b,d,a,a,c,d,c,c,a,c,
33301,33301Cristal Leon,b,d,c,d,d,b,d,d,b,d,b,
58752,58752Ryder Villegas,d,c,c,d,a,b,a,d,d,d,d,
